MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-C7-2390,ANGLO OPERATIONS PROPRIETARY LIMITED,ORA-4282_ANG021,Active,1,0,0,0,0,0,0,0,R200.00
1-C7-2392,THE ANTFARM,ORA-4284_ANT001,Active,1,6,534,89,1417342,0,0,-69550,R100 310.04
1-C7-2393,PSG ASSET MANAGEMENT GROUP SERVICES (PTY) LTD,ORA-4286_APP003,Active,1,1,13,4,0,0,0,-47256,R8 090.91
1-C7-2397,APTRONICS (PTY) LTD,ORA-4290_APT001,Active,1,3,14,0,0,0,0,0,R2 909.19
1-C7-24,MEDISCOR PBM (PTY) LTD,CENTURION,Active,1,3,46,0,0,0,0,0,R24 563.91
1-C7-2402,ALWAYS-ON BROADBAND WIREL,ORA-4295_ALW003,Active,1,5,98,0,0,0,0,0,R0.00
1-C7-2404,AMATOLA WATER BOARD,ORA-4297_AMA004,Active,1,0,91,23,865688,0,0,-7260,R92 474.61
1-C7-2405,AMAZING SMALL DEVICES CC,ORA-4298_AMA005,Active,1,1,1,2,0,0,0,0,-R2 494.80
1-C7-2408,AMERICAN EXPRESS FOREX,ORA-4302_AME001,Active,1,1,0,0,0,0,0,0,R1 192.88
1-C7-2411,BKB,ORA-4141_BKB001,Active,1,1,77,4,12000,0,0,-40272,R64 886.39
1-C7-2413,BLACK TUSK TECHNOLOGIES CC,ORA-4143_BLA002,Active,1,1,2,0,0,0,0,0,R0.00
1-C7-2415,BARLOWORLD EQUIPMENT,ORA-4145_BAR007,Active,1,31,246,73,286760,0,0,-1635970.56,R410 029.08
1-C7-2416,BARLOWORLD AUTOMOTIVE A DIVISION OF BARLOWORLD SOUTH AFRICA (PTY) LTD,ORA-4146_BAR009,Active,2,19,447,42,159792,0,0,-2802019.92,R521 991.62
